category,human_sentence_share,model_sentence_share,model_selected_cells,rho,rho_p,tau_b,tau_p,concordance
RB,0.3041425402586927,0.043859649122807015,15,0.44634164891917677,0.000501296701081393,0.36887626050256045,0.0009363858382874668,0.6172028890347997
LEB,0.32249301414455683,0.07309941520467836,25,0.17515827995743283,0.19249970119865006,0.1477389740695577,0.17590058423014465,0.5460875331564987
M,0.1336055656382335,0.02046783625730994,7,0.37024707473934126,0.004584300002495317,0.3139876787127663,0.0052205715305868134,0.5600945307224848
